request_id,arrival_time_s,num_images,start_service_time_s,end_service_time_s,service_time_s,wait_time_s
1,156.42269665895302,500,156.42269665895302,424.922696658953,268.5,0.0
2,1159.7965069647933,100,1159.7965069647933,1213.4965069647933,53.7,0.0
3,1598.7117381466096,100,1598.7117381466096,1652.4117381466097,53.7,0.0
4,1903.025922738594,1000,1903.025922738594,2440.025922738594,537.0,0.0
5,1959.5675462260429,500,2440.025922738594,2708.525922738594,268.5,480.45837651255124
6,2016.0996435309112,50,2708.525922738594,2735.375922738594,26.85,692.4262792076829
7,2036.0458997338048,100,2735.375922738594,2789.075922738594,53.7,699.3300230047892
8,2706.4561878937848,500,2789.075922738594,3057.575922738594,268.5,82.61973484480905
9,3012.8169057695395,50,3057.575922738594,3084.4259227385937,26.85,44.7590169690543
10,3423.233593004403,100,3423.233593004403,3476.9335930044026,53.7,0.0
11,3430.1666956707822,250,3476.9335930044026,3611.1835930044026,134.25,46.76689733362036
12,4598.0191873902195,500,4598.0191873902195,4866.5191873902195,268.5,0.0
13,5193.495701841778,500,5193.495701841778,5461.995701841778,268.5,0.0
14,5273.0582435914275,100,5461.995701841778,5515.695701841778,53.7,188.93745825035057
15,5339.951239841315,500,5515.695701841778,5784.195701841778,268.5,175.7444620004626
16,5407.488380785401,100,5784.195701841778,5837.895701841778,53.7,376.7073210563767
17,5528.406290605561,250,5837.895701841778,5972.145701841778,134.25,309.48941123621717
18,5776.382234225845,500,5972.145701841778,6240.645701841778,268.5,195.7634676159323
19,5964.894589819291,500,6240.645701841778,6509.145701841778,268.5,275.7511120224872
20,6079.635587337271,1000,6509.145701841778,7046.145701841778,537.0,429.5101145045064
21,6395.092545303871,500,7046.145701841778,7314.645701841778,268.5,651.053156537907
22,6445.170721546317,250,7314.645701841778,7448.895701841778,134.25,869.4749802954611
23,6560.34255888045,100,7448.895701841778,7502.595701841778,53.7,888.5531429613275
24,6712.434964954066,250,7502.595701841778,7636.845701841778,134.25,790.1607368877112
25,6915.413194240658,250,7636.845701841778,7771.095701841778,134.25,721.4325076011191
26,7428.058531250962,100,7771.095701841778,7824.795701841777,53.7,343.03717059081555
27,7502.303818627192,1000,7824.795701841777,8361.795701841776,537.0,322.49188321458496
28,7742.980203638235,250,8361.795701841776,8496.045701841776,134.25,618.8154982035412
29,8042.148444074822,1000,8496.045701841776,9033.045701841776,537.0,453.8972577669547
30,8058.003060660291,500,9033.045701841776,9301.545701841776,268.5,975.0426411814851
31,8369.78073421016,500,9301.545701841776,9570.045701841776,268.5,931.764967631616
32,8432.101151535966,250,9570.045701841776,9704.295701841776,134.25,1137.9445503058105
33,8454.522461829067,250,9704.295701841776,9838.545701841776,134.25,1249.7732400127097
34,9445.751726331377,250,9838.545701841776,9972.795701841776,134.25,392.79397551039983
35,10569.295173818435,100,10569.295173818435,10622.995173818435,53.7,0.0
36,11120.07236475606,500,11120.07236475606,11388.57236475606,268.5,0.0
37,11241.16831807898,250,11388.57236475606,11522.82236475606,134.25,147.40404667708026
38,11275.427423079816,50,11522.82236475606,11549.672364756061,26.85,247.39494167624434
39,11659.677677446038,500,11659.677677446038,11928.177677446038,268.5,0.0
40,11853.04129164117,100,11928.177677446038,11981.877677446038,53.7,75.13638580486804
41,11896.425369625986,1000,11981.877677446038,12518.877677446038,537.0,85.45230782005274
42,12124.274445670702,1000,12518.877677446038,13055.877677446038,537.0,394.6032317753361
43,12135.939019485195,1000,13055.877677446038,13592.877677446038,537.0,919.9386579608436
44,12936.079981949537,250,13592.877677446038,13727.127677446038,134.25,656.7976954965015
45,13035.899240896431,50,13727.127677446038,13753.977677446039,26.85,691.2284365496071
46,13397.984507084759,1000,13753.977677446039,14290.977677446039,537.0,355.99317036128014
47,13522.500034303966,250,14290.977677446039,14425.227677446039,134.25,768.4776431420723
48,13767.20366627371,1000,14425.227677446039,14962.227677446039,537.0,658.0240111723288
49,14030.944932267643,1000,14962.227677446039,15499.227677446039,537.0,931.282745178396
50,14099.074465436945,1000,15499.227677446039,16036.227677446039,537.0,1400.1532120090942
51,15263.343509682354,250,16036.227677446039,16170.477677446039,134.25,772.8841677636847
52,15760.758635395068,250,16170.477677446039,16304.727677446039,134.25,409.71904205097053
53,16695.790108492263,1000,16695.790108492263,17232.790108492263,537.0,0.0
54,17446.50744100366,250,17446.50744100366,17580.75744100366,134.25,0.0
55,17750.19224513142,100,17750.19224513142,17803.89224513142,53.7,0.0
56,18600.00403822122,250,18600.00403822122,18734.25403822122,134.25,0.0
57,18630.88919120559,1000,18734.25403822122,19271.25403822122,537.0,103.3648470156295
58,18703.60075608268,500,19271.25403822122,19539.75403822122,268.5,567.6532821385408
59,18719.02807797829,250,19539.75403822122,19674.00403822122,134.25,820.7259602429294
60,18850.205440245987,100,19674.00403822122,19727.70403822122,53.7,823.7985979752339
61,19014.24887084406,500,19727.70403822122,19996.20403822122,268.5,713.4551673771603
62,19119.769018580337,1000,19996.20403822122,20533.20403822122,537.0,876.435019640885
63,19707.95497366065,100,20533.20403822122,20586.904038221222,53.7,825.2490645605722
64,19855.030640170608,250,20586.904038221222,20721.154038221222,134.25,731.8733980506149
65,19964.964920215356,1000,20721.154038221222,21258.154038221222,537.0,756.1891180058665
66,20225.767281284603,500,21258.154038221222,21526.654038221222,268.5,1032.3867569366193
67,20276.399997224813,500,21526.654038221222,21795.154038221222,268.5,1250.2540409964095
68,20816.56119581639,500,21795.154038221222,22063.654038221222,268.5,978.5928424048325
69,20842.38648542016,250,22063.654038221222,22197.904038221222,134.25,1221.2675528010623
70,22287.101931949266,250,22287.101931949266,22421.351931949266,134.25,0.0
71,22780.263190696438,1000,22780.263190696438,23317.263190696438,537.0,0.0
72,22854.109670865066,1000,23317.263190696438,23854.263190696438,537.0,463.15351983137225
73,22855.955477657044,1000,23854.263190696438,24391.263190696438,537.0,998.307713039394
74,23419.254403485753,1000,24391.263190696438,24928.263190696438,537.0,972.0087872106851
75,23828.286372614766,250,24928.263190696438,25062.513190696438,134.25,1099.9768180816718
76,24263.507342210767,250,25062.513190696438,25196.763190696438,134.25,799.0058484856709
77,24755.245517558604,500,25196.763190696438,25465.263190696438,268.5,441.5176731378342
78,24780.888606063203,500,25465.263190696438,25733.763190696438,268.5,684.3745846332349
79,24928.852830201948,500,25733.763190696438,26002.263190696438,268.5,804.9103604944903
80,24969.902865070097,500,26002.263190696438,26270.763190696438,268.5,1032.3603256263414
81,25632.746055622836,1000,26270.763190696438,26807.763190696438,537.0,638.0171350736018
82,25958.17978619363,250,26807.763190696438,26942.013190696438,134.25,849.5834045028096
83,26092.119386610728,250,26942.013190696438,27076.263190696438,134.25,849.8938040857101
84,26114.008741878988,100,27076.263190696438,27129.96319069644,53.7,962.2544488174499
85,26238.171525349106,250,27129.96319069644,27264.21319069644,134.25,891.791665347333
86,26369.27626307715,50,27264.21319069644,27291.063190696437,26.85,894.9369276192883
87,26805.23485772973,250,27291.063190696437,27425.313190696437,134.25,485.8283329667065
88,27143.53131070507,250,27425.313190696437,27559.563190696437,134.25,281.7818799913657
89,27870.94861483891,250,27870.94861483891,28005.19861483891,134.25,0.0
90,28083.97065929768,250,28083.97065929768,28218.22065929768,134.25,0.0
91,28126.42812383618,50,28218.22065929768,28245.07065929768,26.85,91.79253546149994
92,28542.803571941713,50,28542.803571941713,28569.65357194171,26.85,0.0
93,29019.60115630067,1000,29019.60115630067,29556.60115630067,537.0,0.0
94,29294.23032126261,250,29556.60115630067,29690.85115630067,134.25,262.37083503805843
95,29785.526976836398,100,29785.526976836398,29839.2269768364,53.7,0.0
96,30012.46522067316,250,30012.46522067316,30146.71522067316,134.25,0.0
97,30259.024833598916,500,30259.024833598916,30527.524833598916,268.5,0.0
98,30444.96289823506,100,30527.524833598916,30581.224833598917,53.7,82.56193536385763
99,30453.5454895651,500,30581.224833598917,30849.724833598917,268.5,127.67934403381878
100,30491.60130129572,100,30849.724833598917,30903.424833598918,53.7,358.12353230319786
101,30502.245861726737,100,30903.424833598918,30957.12483359892,53.7,401.17897187218114
102,30839.489045369253,250,30957.12483359892,31091.37483359892,134.25,117.6357882296652
103,30965.287948300953,250,31091.37483359892,31225.62483359892,134.25,126.08688529796564
104,31202.100340679015,500,31225.62483359892,31494.12483359892,268.5,23.524492919903423
105,31995.85551729434,500,31995.85551729434,32264.35551729434,268.5,0.0
106,32091.435124955442,1000,32264.35551729434,32801.355517294345,537.0,172.92039233889955
107,32267.529116583,250,32801.355517294345,32935.605517294345,134.25,533.8264007113467
108,32737.112165762526,250,32935.605517294345,33069.855517294345,134.25,198.49335153181892
109,32823.71388473499,500,33069.855517294345,33338.355517294345,268.5,246.14163255935273
110,32850.41531091838,250,33338.355517294345,33472.605517294345,134.25,487.9402063759626
111,32964.46207888074,250,33472.605517294345,33606.855517294345,134.25,508.14343841360824
112,33023.064865047425,100,33606.855517294345,33660.55551729434,53.7,583.7906522469202
113,33908.04822700763,50,33908.04822700763,33934.89822700763,26.85,0.0
114,34458.34392050249,1000,34458.34392050249,34995.34392050249,537.0,0.0
115,34792.841984009334,1000,34995.34392050249,35532.34392050249,537.0,202.5019364931577
116,35476.68189418294,500,35532.34392050249,35800.84392050249,268.5,55.66202631955093
117,36019.338207763125,250,36019.338207763125,36153.588207763125,134.25,0.0
118,36088.170033216,100,36153.588207763125,36207.28820776312,53.7,65.41817454712145
119,36831.77450162786,100,36831.77450162786,36885.474501627854,53.7,0.0
120,37090.14113561658,250,37090.14113561658,37224.39113561658,134.25,0.0
121,37639.25723271776,250,37639.25723271776,37773.50723271776,134.25,0.0
122,38394.00478247984,500,38394.00478247984,38662.50478247984,268.5,0.0
123,38521.58168795261,500,38662.50478247984,38931.00478247984,268.5,140.9230945272284
124,38560.445741327225,250,38931.00478247984,39065.25478247984,134.25,370.55904115261364
125,38646.67465670702,1000,39065.25478247984,39602.25478247984,537.0,418.58012577281625
126,38832.360554289895,500,39602.25478247984,39870.75478247984,268.5,769.8942281899435
127,39400.30379650288,250,39870.75478247984,40005.00478247984,134.25,470.4509859769605
128,40057.41878712949,500,40057.41878712949,40325.91878712949,268.5,0.0
129,40059.74425685671,250,40325.91878712949,40460.16878712949,134.25,266.1745302727795
130,40298.03630996957,100,40460.16878712949,40513.86878712949,53.7,162.13247715992475
